x-axis,1,,,,,,,,
second,Volt,,second,Volt,uA,,,,
-2.26E-03,9.05E-02,,0.00351,0.6959799,6.9598E-07,7.04774E-12,,,
-2.25E-03,7.29E-02,,0.00352,0.7135678,7.13568E-07,7.13568E-12,,,
-2.24E-03,5.28E-02,,0.00353,0.7135678,7.13568E-07,7.13568E-12,,,
-2.23E-03,5.28E-02,,0.00354,0.7135678,7.13568E-07,7.04774E-12,,,
-2.22E-03,7.29E-02,,0.00355,0.6959799,6.9598E-07,6.9598E-12,,,
-2.21E-03,5.53E-02,,0.00356,0.6959799,6.9598E-07,7.0603E-12,,,
-2.20E-03,7.04E-02,,0.00357,0.7160804,7.1608E-07,7.14824E-12,,,
-2.19E-03,7.29E-02,,0.00358,0.7135678,7.13568E-07,7.04774E-12,,,
-2.18E-03,7.54E-02,,0.00359,0.6959799,6.9598E-07,6.9598E-12,,,
-2.17E-03,7.29E-02,,0.0036,0.6959799,6.9598E-07,7.0603E-12,,,
-2.16E-03,7.29E-02,,0.00361,0.7160804,7.1608E-07,7.1608E-12,,,
-2.15E-03,8.79E-02,,0.00362,0.7160804,7.1608E-07,7.1608E-12,,,
-2.14E-03,7.04E-02,,0.00363,0.7160804,7.1608E-07,7.1608E-12,,,
-2.13E-03,7.54E-02,,0.00364,0.7160804,7.1608E-07,7.1608E-12,,,
-2.12E-03,5.28E-02,,0.00365,0.7160804,7.1608E-07,7.0603E-12,,,
-2.11E-03,9.05E-02,,0.00366,0.6959799,6.9598E-07,7.0603E-12,,,
-2.10E-03,5.53E-02,,0.00367,0.7160804,7.1608E-07,7.17337E-12,,,
-2.09E-03,9.05E-02,,0.00368,0.718593,7.18593E-07,7.17337E-12,,,
-2.08E-03,7.29E-02,,0.00369,0.7160804,7.1608E-07,7.1608E-12,,,
-2.07E-03,5.53E-02,,0.0037,0.7160804,7.1608E-07,7.26131E-12,,,
-2.06E-03,7.29E-02,,0.00371,0.7361809,7.36181E-07,7.34925E-12,,,
-2.05E-03,7.29E-02,,0.00372,0.7336683,7.33668E-07,7.34925E-12,,,
-2.04E-03,5.53E-02,,0.00373,0.7361809,7.36181E-07,7.34925E-12,,,
-2.03E-03,5.53E-02,,0.00374,0.7336683,7.33668E-07,7.34925E-12,,,
-2.02E-03,7.29E-02,,0.00375,0.7361809,7.36181E-07,7.37437E-12,,,
-2.01E-03,7.29E-02,,0.00376,0.7386935,7.38694E-07,7.38694E-12,,,
-2.00E-03,5.53E-02,,0.00377,0.7386935,7.38694E-07,7.38694E-12,,,
-1.99E-03,5.53E-02,,0.00378,0.7386935,7.38694E-07,7.37437E-12,,,
-1.98E-03,8.79E-02,,0.00379,0.7361809,7.36181E-07,7.46231E-12,,,
-1.97E-03,7.29E-02,,0.0038,0.7562814,7.56281E-07,7.46231E-12,,,
-1.96E-03,7.29E-02,,0.00381,0.7361809,7.36181E-07,7.36181E-12,,,
-1.95E-03,7.04E-02,,0.00382,0.7361809,7.36181E-07,7.37437E-12,,,
-1.94E-03,7.29E-02,,0.00383,0.7386935,7.38694E-07,7.47487E-12,,,
-1.93E-03,7.29E-02,,0.00384,0.7562814,7.56281E-07,7.56281E-12,,,
-1.92E-03,1.11E-01,,0.00385,0.7562814,7.56281E-07,7.56281E-12,,,
-1.91E-03,1.11E-01,,0.00386,0.7562814,7.56281E-07,7.55025E-12,,,
-1.90E-03,1.13E-01,,0.00387,0.7537689,7.53769E-07,7.55025E-12,,,
-1.89E-03,9.55E-02,,0.00388,0.7562814,7.56281E-07,7.56281E-12,,,
-1.88E-03,1.16E-01,,0.00389,0.7562814,7.56281E-07,7.56281E-12,,,
-1.87E-03,1.33E-01,,0.0039,0.7562814,7.56281E-07,7.57538E-12,,,
-1.86E-03,1.33E-01,,0.00391,0.758794,7.58794E-07,7.66332E-12,,,
-1.85E-03,1.33E-01,,0.00392,0.7738694,7.73869E-07,7.65075E-12,,,
-1.84E-03,1.53E-01,,0.00393,0.7562814,7.56281E-07,7.57538E-12,,,
-1.83E-03,1.51E-01,,0.00394,0.758794,7.58794E-07,7.67588E-12,,,
-1.82E-03,1.53E-01,,0.00395,0.7763819,7.76382E-07,9.86181E-12,,,
-1.81E-03,1.71E-01,,0.00396,1.1959799,1.19598E-06,1.44724E-11,,,
-1.80E-03,1.56E-01,,0.00397,1.6984925,1.69849E-06,1.9196E-11,,,
-1.79E-03,1.73E-01,,0.00398,2.1407035,2.1407E-06,2.29146E-11,,,
-1.78E-03,1.73E-01,,0.00399,2.442211,2.44221E-06,2.48492E-11,,,
-1.77E-03,1.73E-01,,0.004,2.5276382,2.52764E-06,2.52764E-11,,,
-1.76E-03,1.73E-01,,0.00401,2.5276382,2.52764E-06,2.50628E-11,,,
-1.75E-03,1.93E-01,,0.00402,2.4849246,2.48492E-06,2.44598E-11,,,
-1.74E-03,1.93E-01,,0.00403,2.4070352,2.40704E-06,2.36683E-11,,,
-1.73E-03,1.93E-01,,0.00404,2.3266332,2.32663E-06,2.26633E-11,,,
-1.72E-03,2.14E-01,,0.00405,2.2060301,2.20603E-06,2.14573E-11,,,
-1.71E-03,2.11E-01,,0.00406,2.0854271,2.08543E-06,2.03392E-11,,,
-1.70E-03,2.11E-01,,0.00407,1.9824121,1.98241E-06,1.9309E-11,,,
-1.69E-03,2.14E-01,,0.00408,1.879397,1.8794E-06,1.82915E-11,,,
-1.68E-03,2.14E-01,,0.00409,1.7788945,1.77889E-06,1.73995E-11,,,
-1.67E-03,2.14E-01,,0.0041,1.701005,1.70101E-06,1.67085E-11,,,
-1.66E-03,2.14E-01,,0.00411,1.6407035,1.6407E-06,1.63065E-11,,,
-1.65E-03,2.16E-01,,0.00412,1.620603,1.6206E-06,1.61055E-11,,,
-1.64E-03,2.34E-01,,0.00413,1.6005025,1.6005E-06,1.60176E-11,,,
-1.63E-03,2.34E-01,,0.00414,1.6030151,1.60302E-06,1.62186E-11,,,
-1.62E-03,2.51E-01,,0.00415,1.6407035,1.6407E-06,1.65955E-11,,,
-1.61E-03,2.51E-01,,0.00416,1.678392,1.67839E-06,1.6897E-11,,,
-1.60E-03,2.71E-01,,0.00417,1.701005,1.70101E-06,1.71106E-11,,,
-1.59E-03,2.54E-01,,0.00418,1.7211055,1.72111E-06,1.73116E-11,,,
-1.58E-03,2.56E-01,,0.00419,1.741206,1.74121E-06,1.75126E-11,,,
-1.57E-03,2.54E-01,,0.0042,1.7613065,1.76131E-06,1.76256E-11,,,
-1.56E-03,2.74E-01,,0.00421,1.7638191,1.76382E-06,1.77261E-11,,,
-1.55E-03,2.71E-01,,0.00422,1.781407,1.78141E-06,1.78015E-11,,,
-1.54E-03,2.76E-01,,0.00423,1.7788945,1.77889E-06,1.7701E-11,,,
-1.53E-03,2.74E-01,,0.00424,1.7613065,1.76131E-06,1.76131E-11,,,
-1.52E-03,2.91E-01,,0.00425,1.7613065,1.76131E-06,1.74372E-11,,,
-1.51E-03,2.74E-01,,0.00426,1.7261307,1.72613E-06,1.73367E-11,,,
-1.50E-03,2.76E-01,,0.00427,1.741206,1.74121E-06,1.73995E-11,,,
-1.49E-03,2.94E-01,,0.00428,1.7386935,1.73869E-06,1.71985E-11,,,
-1.48E-03,2.96E-01,,0.00429,1.701005,1.70101E-06,1.71106E-11,,,
-1.47E-03,3.12E-01,,0.0043,1.7211055,1.72111E-06,1.71231E-11,,,
-1.46E-03,2.94E-01,,0.00431,1.7035176,1.70352E-06,1.71231E-11,,,
-1.45E-03,2.96E-01,,0.00432,1.7211055,1.72111E-06,1.7098E-11,,,
-1.44E-03,3.14E-01,,0.00433,1.6984925,1.69849E-06,1.69975E-11,,,
-1.43E-03,3.52E-01,,0.00434,1.701005,1.70101E-06,1.7098E-11,,,
-1.42E-03,3.37E-01,,0.00435,1.718593,1.71859E-06,1.7098E-11,,,
-1.41E-03,3.52E-01,,0.00436,1.701005,1.70101E-06,1.701E-11,,,
-1.40E-03,3.37E-01,,0.00437,1.701005,1.70101E-06,1.70101E-11,,,
-1.39E-03,3.54E-01,,0.00438,1.701005,1.70101E-06,1.69221E-11,,,
-1.38E-03,3.57E-01,,0.00439,1.6834171,1.68342E-06,1.68216E-11,,,
-1.37E-03,3.72E-01,,0.0044,1.6809045,1.6809E-06,1.68216E-11,,,
-1.36E-03,3.74E-01,,0.00441,1.6834171,1.68342E-06,1.6809E-11,,,
-1.35E-03,3.74E-01,,0.00442,1.678392,1.67839E-06,1.67965E-11,,,
-1.34E-03,3.74E-01,,0.00443,1.6809045,1.6809E-06,1.6809E-11,,,
-1.33E-03,3.74E-01,,0.00444,1.6809045,1.6809E-06,1.67211E-11,,,
-1.32E-03,3.94E-01,,0.00445,1.6633166,1.66332E-06,1.67085E-11,,,
-1.31E-03,3.77E-01,,0.00446,1.678392,1.67839E-06,1.67085E-11,,,
-1.30E-03,3.97E-01,,0.00447,1.6633166,1.66332E-06,1.67085E-11,,,
-1.29E-03,3.74E-01,,0.00448,1.678392,1.67839E-06,1.6696E-11,,,
-1.28E-03,3.94E-01,,0.00449,1.660804,1.6608E-06,1.66206E-11,,,
-1.27E-03,4.15E-01,,0.0045,1.6633166,1.66332E-06,1.65327E-11,,,
-1.26E-03,3.97E-01,,0.00451,1.6432161,1.64322E-06,1.65075E-11,,,
-1.25E-03,4.32E-01,,0.00452,1.6582915,1.65829E-06,1.65955E-11,,,
-1.24E-03,4.35E-01,,0.00453,1.660804,1.6608E-06,1.64196E-11,,,
-1.23E-03,4.17E-01,,0.00454,1.6231156,1.62312E-06,1.63317E-11,,,
-1.22E-03,4.35E-01,,0.00455,1.6432161,1.64322E-06,1.64196E-11,,,
-1.21E-03,4.37E-01,,0.00456,1.6407035,1.6407E-06,1.64196E-11,,,
-1.20E-03,4.37E-01,,0.00457,1.6432161,1.64322E-06,1.64196E-11,,,
-1.19E-03,4.52E-01,,0.00458,1.6407035,1.6407E-06,1.63191E-11,,,
-1.18E-03,4.35E-01,,0.00459,1.6231156,1.62312E-06,1.63065E-11,,,
-1.17E-03,4.35E-01,,0.0046,1.638191,1.63819E-06,1.63819E-11,,,
